Format Version,1.25,Take Name,Take 2026-04-16 04.29.11 PM Shannon,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-16 04.29.41.975 PM,Capture Start Frame,2074563,Total Frames in Take,9187,Total Exported Frames,9187,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.071157,0.428895,-0.685979,0.583454,1428.793823,1509.709473,-2563.313721,1388.127563,1536.115845,-2628.645996,1452.347168,1530.637085,-2520.628906,1402.764160,1477.410400,-2613.892578,1471.936401,1494.674316,-2490.087158,1388.258789,1536.230103,-2628.574951,1452.193359,1530.604248,-2520.636475,1402.802124,1477.291382,-2613.712646,1471.925293,1494.712036,-2490.337402,1819.292236,1567.352417,-2801.734375,,,,,,,,,,,,
6,0.060000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.072651,0.427202,-0.686933,0.583390,1426.466064,1510.598022,-2563.763184,1386.122803,1537.024048,-2629.287598,1449.912720,1531.520996,-2521.017334,1400.542603,1478.299438,-2614.396484,1469.286499,1495.547607,-2490.351074,1386.329102,1537.113037,-2629.226562,1449.700806,1531.559570,-2520.904785,1400.500000,1478.160767,-2614.262939,1469.338989,1495.564209,-2490.683594,1819.289429,1567.358765,-2801.779785,,,,,,,,,,,,
7,0.070000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073174,0.426876,-0.684900,0.585947,1424.409180,1511.431763,-2564.274414,1384.158325,1537.740601,-2629.902588,1447.589600,1532.415039,-2521.413086,1398.841431,1479.071899,-2615.049316,1467.047485,1496.499512,-2490.732178,1384.245728,1537.841797,-2629.791992,1447.556274,1532.387939,-2521.387695,1398.922974,1478.938354,-2614.881104,1466.897095,1496.566406,-2491.083740,1819.266602,1567.372437,-2801.816650,,,,,,,,,,,,
8,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073931,0.427032,-0.683170,0.587756,1422.081177,1512.181885,-2564.843018,1381.902466,1538.486450,-2630.517090,1445.066406,1533.155273,-2521.872070,1396.773926,1479.840698,-2615.760254,1464.582275,1497.244629,-2491.222412,1382.116455,1538.677002,-2630.466309,1444.785522,1533.136108,-2521.822754,1396.767456,1479.632080,-2615.536865,1464.660400,1497.282959,-2491.555176,1819.193726,1567.344971,-2801.881836,,,,,,,,,,,,
9,0.090000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073877,0.426186,-0.685089,0.586141,1420.040649,1513.104248,-2565.406006,1379.932495,1539.419067,-2631.119141,1443.152954,1534.085571,-2522.507080,1394.548706,1480.745361,-2616.219727,1462.528442,1498.166748,-2491.777832,1380.065796,1539.495117,-2631.006592,1443.070435,1534.151978,-2522.450439,1394.559814,1480.603760,-2616.122070,1462.467407,1498.163208,-2492.072998,1819.129639,1567.325439,-2801.946045,,,,,,,,,,,,
10,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074521,0.426591,-0.683169,0.588002,1418.040405,1513.960938,-2565.956787,1377.968384,1540.278442,-2631.690918,1440.964478,1534.926758,-2522.949463,1392.803833,1481.628540,-2616.914795,1460.425049,1499.009888,-2492.271973,1378.013062,1540.299072,-2631.657471,1440.936035,1534.999390,-2522.912354,1392.869751,1481.581177,-2616.762939,1460.334229,1498.952515,-2492.518066,1819.068604,1567.320190,-2801.981201,,,,,,,,,,,,
11,0.110000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074924,0.426900,-0.680026,0.591361,1415.962158,1514.790161,-2566.494629,1375.912109,1540.990112,-2632.289062,1438.566650,1535.805176,-2523.342529,1391.163696,1482.415039,-2617.640137,1458.205933,1499.950073,-2492.706787,1376.053589,1541.084961,-2632.175293,1438.411255,1535.814819,-2523.383301,1391.250366,1482.308472,-2617.378662,1458.136963,1499.944336,-2493.060547,1819.039185,1567.339966,-2802.039551,,,,,,,,,,,,
12,0.120000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074361,0.426691,-0.681983,0.589326,1414.020996,1515.581177,-2567.008301,1373.924683,1541.814331,-2632.761230,1436.832886,1536.590820,-2523.962646,1388.942383,1483.203247,-2618.015381,1456.384155,1500.715820,-2493.293701,1374.023926,1541.895996,-2632.761230,1436.752441,1536.651855,-2523.788086,1388.904419,1483.053101,-2617.958984,1456.399170,1500.722534,-2493.533691,1818.997803,1567.356201,-2802.098633,,,,,,,,,,,,
13,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073580,0.427454,-0.681024,0.589978,1412.141479,1516.417603,-2567.530518,1371.888550,1542.593628,-2633.210693,1434.948975,1537.454956,-2524.496338,1387.088867,1484.012451,-2618.533203,1454.639404,1501.609253,-2493.882080,1371.984009,1542.615234,-2633.175781,1434.874756,1537.505127,-2524.403076,1387.097534,1483.953369,-2618.420166,1454.603516,1501.595093,-2494.151611,1818.953979,1567.333374,-2802.147217,,,,,,,,,,,,
14,0.140000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.073830,0.428516,-0.678827,0.591707,1410.340454,1517.178345,-2568.023438,1370.017944,1543.378296,-2633.651123,1433.006836,1538.181763,-2524.897949,1385.491699,1484.823120,-2619.156982,1452.845337,1502.329834,-2494.387207,1370.120605,1543.486816,-2633.613281,1432.876587,1538.164917,-2524.878418,1385.557007,1484.707886,-2618.927002,1452.811157,1502.345703,-2494.688721,1818.944580,1567.320679,-2802.153320,,,,,,,,,,,,
15,0.150000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074079,0.428957,-0.679268,0.590849,1408.655151,1517.918213,-2568.482178,1368.316162,1544.234375,-2634.053223,1431.402588,1538.852417,-2525.365723,1383.696655,1485.641479,-2619.612061,1451.205200,1502.944458,-2494.897461,1368.539673,1544.479980,-2634.019775,1431.101562,1538.894165,-2525.275635,1383.642456,1485.343018,-2619.460693,1451.340088,1502.956665,-2495.167236,1818.978027,1567.335449,-2802.131836,,,,,,,,,,,,
16,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074367,0.428736,-0.681996,0.587823,1407.058350,1518.759521,-2568.898193,1366.766602,1545.261108,-2634.423584,1430.065918,1539.599121,-2525.874023,1381.734741,1486.579590,-2619.909180,1449.666382,1503.597778,-2495.385498,1366.976318,1545.382324,-2634.364746,1429.845215,1539.662842,-2525.747803,1381.673706,1486.390991,-2619.804688,1449.742676,1503.605835,-2495.689209,1818.962158,1567.318848,-2802.117432,,,,,,,,,,,,
17,0.170000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,57.698101,20.499701,-14.700500,0.047771,-0.013570,0.015998,-15.666301,-52.738201,18.801300,-93.396698,0.129960,17.611099,0.074589,0.430367,-0.681251,0.587467,1405.424927,1519.464355,-2569.260254,1365.003052,1546.156128,-2634.628418,1428.501099,1540.177612,-2526.211914,1380.023071,1487.435425,-2620.327637,1448.172607,1504.088135,-2495.873535,1365.053833,1546.265015,-2634.590088,1428.426270,1540.214355,-2526.230469,1380.103760,1487.309448,-2620.150146,1448.122437,1504.055176,-2496.067139,1818.967651,1567.344604,-2802.118408,,,,,,,,,,,,
